# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-g" "ID" "--primary" "-T" "16" "-a" "../sacCer3/sacCer3_RENAMED.gff" "-o" "wrs3_s1_counts.txt" "BRR1_WRS1_dupl.bam" "BRR1_WRS2_dupl.bam" "BRR2_WRS1_dupl.bam" "BRR2_WRS2_dupl.bam" "BRR3_WRS1_dupl.bam" "BRR3_WRS2_dupl.bam" 
Geneid	Chr	Start	End	Strand	Length	BRR1_WRS1_dupl.bam	BRR1_WRS2_dupl.bam	BRR2_WRS1_dupl.bam	BRR2_WRS2_dupl.bam	BRR3_WRS1_dupl.bam	BRR3_WRS2_dupl.bam
YAL069W	1	335	649	+	315	0	5	6	0	9	2
YAL068W-A	1	538	792	+	255	0	2	0	0	2	0
YAL068C	1	1807	2169	-	363	2	21	4	5	11	4
YAL067W-A	1	2480	2707	+	228	0	3	0	0	0	0
YAL067C	1	7235	9016	-	1782	2790	1027	6752	1061	5588	503
YAL066W	1	10091	10399	+	309	73	15	97	45	77	15
YAL065C	1	11565	11951	-	387	3	17	16	9	17	8
YAL064W-B	1	12046	12426	+	381	325	580	288	555	509	462
YAL064C-A	1	13363	13743	-	381	12	21	5	12	13	16
YAL064W	1	21566	21850	+	285	16	19	13	24	16	20
YAL063C-A	1	22395	22685	-	291	88	65	48	59	62	67
YAL063C	1	24000	27968	-	3969	645	1030	526	723	855	848
YAL062W	1	31567	32940	+	1374	63396	54006	42744	44963	80053	34908
YAL061W	1	33448	34701	+	1254	5997	23121	2669	15136	6611	10763
YAL060W	1	35155	36303	+	1149	2819	28781	5034	21100	13294	15592
YAL059C-A	1	36496	36918	-	423	22	16	39	29	18	17
YAL059W	1	36509	37147	+	639	11951	1643	9895	2248	8650	2456
YAL058W	1	37464	38972	+	1509	3938	2530	3972	2491	4694	1913
YAL056C-A	1	38696	39046	-	351	14	22	22	19	10	27
YAL056W	1	39259	41901	+	2643	19042	16285	12635	11024	16901	9203
YAL055W	1	42177	42719	+	543	2218	4613	1915	3345	3102	2719
YAL054C	1	42881	45022	-	2142	10411	106389	28886	42879	126060	53762
YAL053W	1	45899	48250	+	2352	7943	8922	11930	9355	13529	6948
YAL051W	1	48564	51707	+	3144	1854	5150	2829	3999	6155	3278
YAL049C	1	51855	52595	-	741	4970	9483	5203	8422	11025	7306
YAL048C	1	52801	54789	-	1989	1436	2041	1230	1370	2903	1221
YAL047W-A	1	54584	54913	+	330	17	21	15	7	14	19
YAL047C	1	54989	56857	-	1869	1445	915	1110	841	2694	710
YAL046C	1	57029	57385	-	357	1336	2542	1925	3176	2461	2973
YAL045C	1	57488	57796	-	309	36	39	64	50	34	48
YAL044W-A	1	57518	57850	+	333	4121	5473	4387	5655	6096	5022
YAL044C	1	57950	58462	-	513	29969	18991	22013	23014	28279	19691
YAL043C	1	58695	61052	-	2358	598	3550	2247	2311	4964	2154
YAL042C-A	1	61231	61608	-	378	25	17	23	18	21	17
YAL042W	1	61316	62563	+	1248	24200	23051	18396	12709	18501	9401
YAL041W	1	62840	65404	+	2565	1963	6253	4226	4573	9209	4087
YAL040C	1	65778	67520	-	1743	586	1187	1459	1797	4164	1609
YAL039C	1	68716	69525	-	810	10968	12805	11727	12119	12414	9630
YAL038W	1	71786	73288	+	1503	17059	24016	21391	19145	80367	16029
YAL037C-B	1	72326	73300	-	975	10	20	4	16	30	11
YAL037C-A	1	73426	73518	-	93	26	23	25	54	32	58
YAL037W	1	74020	74823	+	804	470	409	362	590	707	469
YAL036C	1	75043	76152	-	1110	2976	1631	4102	1895	7021	2241
YAL035W	1	76427	79435	+	3009	48296	46960	61646	34004	62106	25232
YAL034C-B	1	79489	79842	-	354	10	25	8	13	5	8
YAL034W-A	1	79718	80587	+	870	1327	3447	1211	2150	2388	1785
YAL034C	1	80710	81951	-	1242	474	3964	571	2769	1924	2399
YAL033W	1	82706	83227	+	522	3423	2108	2113	1684	2553	1539
YAL032C	1	83335	84474	-	1140	6373	6729	5395	4780	7164	4451
YAL031W-A	1	84669	84977	+	309	5	8	7	14	9	0
YAL031C	1	84749	87031	-	2283	1836	3790	1754	3225	2801	2804
YAL030W	1	87286	87752	+	467	1654	7995	2817	7585	5401	7603
YAL029C	1	87855	92270	-	4416	13254	10735	20803	11640	25108	8723
YAL028W	1	92900	94486	+	1587	106	763	132	558	929	618
YAL027W	1	94687	95472	+	786	2769	3523	1908	2696	2878	2129
YAL026C-A	1	95386	95823	-	438	773	770	497	430	420	235
YAL026C	1	95630	99697	-	4068	7695	7610	7356	5754	9282	4356
YAL025C	1	100225	101145	-	921	16932	5113	24420	8394	23372	6817
YAL024C	1	101565	105872	-	4308	3053	10577	5953	8109	13397	6554
YAL023C	1	106272	108551	-	2280	19567	22346	14467	12372	14622	8407
YAL022C	1	108877	110430	-	1554	6308	5277	6018	4818	6602	3928
YAL021C	1	110846	113359	-	2514	9375	18500	11244	11496	19081	8122
YAL020C	1	113614	114615	-	1002	7280	5030	4409	4166	5587	3537
YAL019W-A	1	114250	114819	+	570	77	53	62	49	46	42
YAL019W	1	114919	118314	+	3396	6178	5022	7010	4269	12244	3538
YAL018C	1	118564	119541	-	978	2	32	5	20	15	22
YAL017W	1	120225	124295	+	4071	6094	23536	5127	15223	12149	11771
YAL016C-B	1	124307	124492	-	186	0	6	4	2	3	0
YAL016C-A	1	124755	125069	-	315	4	29	7	9	8	10
YAL016W	1	124879	126786	+	1908	11958	25970	11896	16191	15855	13068
YAL015C	1	126903	128102	-	1200	2981	2685	2368	2501	3054	2057
YAL014C	1	128252	129019	-	768	1040	1565	1168	1393	2598	1270
YAL013W	1	129270	130487	+	1218	4047	6593	5090	4246	5909	3295
YAL012W	1	130799	131983	+	1185	5384	6931	24135	8021	13939	4283
YAL011W	1	132199	134076	+	1878	3650	5154	4768	3487	7168	3425
YAL010C	1	134184	135665	-	1482	3162	4056	2690	3199	3604	2453
YAL009W	1	135854	136633	+	780	2883	2891	2166	2469	3340	1969
YAL008W	1	136914	137510	+	597	2545	12099	4485	10404	7029	8637
YAL007C	1	137698	138345	-	648	5040	5204	3937	5061	6658	3579
YAL005C	1	139503	141431	-	1929	31680	202367	64408	152259	115147	130626
YAL004W	1	140760	141407	+	648	0	17	0	30	23	36
YAL003W	1	142174	143160	+	987	11679	15883	17443	17870	39644	16142
YAL002W	1	143707	147531	+	3825	3586	5131	2627	3867	9398	3827
YAL001C	1	147594	151166	-	3573	10037	17214	6828	11657	13168	9575
YAR002W	1	152257	153876	+	1620	3768	5988	6597	5762	7385	4336
YAR002C-A	1	154065	154724	-	660	7699	12433	6812	8549	9831	7219
YAR003W	1	155005	156285	+	1281	3253	2407	2179	2212	3700	1686
YAR007C	1	156754	158619	-	1866	5923	8746	4883	7714	10601	5428
YAR008W	1	158966	159793	+	828	4994	2503	2521	2602	6194	1873
YAR014C	1	166742	168871	-	2130	11690	8773	10422	7505	13353	6154
YAR015W	1	169375	170295	+	921	20865	10633	17726	11537	14757	7983
YAR018C	1	170396	171703	-	1308	1187	2070	2488	2359	2751	2001
YAR019C	1	172211	175135	-	2925	759	3456	1586	2864	2777	2363
YAR019W-A	1	174998	175330	+	333	296	222	231	200	205	235
YAR020C	1	176856	177023	-	168	16	191	60	144	122	127
YAR023C	1	179281	179820	-	540	219	344	160	353	337	263
YAR027W	1	183770	184477	+	708	3110	4890	1849	3510	2478	2699
YAR028W	1	184892	185596	+	705	436	478	384	324	465	205
YAR029W	1	186321	186545	+	225	95	102	128	63	93	34
YAR030C	1	186512	186853	-	342	38	103	53	126	135	91
YAR031W	1	186836	187732	+	897	43	79	79	41	81	54
YAR033W	1	188107	188811	+	705	499	592	319	402	503	289
YAR035W	1	190193	192256	+	2064	5398	13234	5937	5656	9877	9710
YAR035C-A	1	192337	192417	-	81	4	2	2	4	2	3
YAR042W	1	192619	196185	+	3567	1650	11557	5408	10041	15082	7398
YAR047C	1	201467	201787	-	321	78	158	76	92	122	92
YAR050W	1	203403	208016	+	4614	185	409	146	301	592	234
YAR053W	1	208367	208663	+	297	35	37	63	70	49	65
YAR060C	1	217157	217492	-	336	0	0	0	0	0	0
YAR064W	1	220198	220497	+	300	6	8	9	2	0	10
YAR066W	1	221049	221660	+	612	2	0	1	4	3	0
YAR068W	1	222406	222891	+	486	0	1	2	0	12	2
YAR069C	1	224011	224304	-	294	1	0	0	1	0	0
YAR070C	1	224563	224862	-	300	5	6	5	15	25	8
